,time_s,time_l,test_score,nodes,type,upper_s,upper_l,bi_s,bi_l,tri_s,tri_l,real
26,0.38581200828775764,,0.05106473799740943,"(5, 40)",integr,-4.642079658319652,,6.199890608521253,,7.211132240258377,,
27,,1.228506235000168,0.345250127658192,"(6, 3)",schedu,,-4.3277809393501725,,15.545141655616133,,17.372283830312714,
28,,2.7419331558048725,0.026341253746631536,"(6, 16)",integr,,-3.6321627531873872,,-2.236449133139394,,-2.174366460847307,
29,0.27853126000013617,,0.0022756081888389307,"(6, 19)",schedu,-4.6201673031909065,,6.179947153609889,,7.166685957572648,,
30,0.214616460999423,,0.002220244884462709,"(6, 34)",schedu,-4.647813941006639,,6.140114994947562,,7.224782755432011,,
31,,7221.03362885071,0.04582017647415712,"(6, 39)",integr,,-4.032168140131547,,-1.852527469818892,,-1.971872110232016,
32,0.17264527500083204,,0.05455154778866034,"(7, 1)",integr,-4.637907189630724,,6.3800937000839335,,7.197822699384697,,
33,0.36469460977241397,,0.010940760434308422,"(8, 5)",integr,-4.500256876329539,,6.295791306443505,,7.319045636340646,,
34,0.27131402865052223,,0.015540810774972305,"(8, 28)",schedu,-4.651027955337767,,6.238438260563858,,7.170021998576358,,
35,0.4627843573689461,,0.0013689118930013924,"(8, 29)",schedu,-4.6371524679487175,,6.330317912692163,,7.186973848176126,,
36,0.1209600770380348,,0.006625891392457536,"(9, 1)",schedu,-4.637907189630724,,6.3800937000839335,,7.194809259374965,,
37,0.24237580499993783,,0.00443802569020855,"(9, 36)",schedu,-4.652224140608582,,6.308614474907704,,7.230535471242134,,
38,0.1207736519863829,,0.17453834401213006,"(10, 1)",schedu,-4.637907189630724,,6.3800937000839335,,7.194809259374965,,8.880109724408861
39,0.3050489329998527,,0.018841730544171268,"(10, 2)",integr,-4.637907189630724,,6.3800937000839335,,7.197822699384697,,
40,0.4278016499997648,,0.003824946203039148,"(10, 40)",schedu,-4.651457306331251,,6.28200891871314,,7.2358761231403355,,
41,0.12543388700578362,,0.12090686929707485,"(11, 1)",schedu,-4.637908729244438,,6.380092160470221,,7.194807719761249,,
42,0.1382712428458035,0.9321808330714703,0.04549041940325989,"(11, 1)",integr,-4.6807865343631745,-4.172715733752217,6.238319372635245,-1.8364984252768233,7.013200085615698,7.6860283135448135,
43,0.12467891500000405,,0.06387557496438091,"(11, 2)",integr,-4.649701033609426,,6.311991398769455,,7.128922514666863,,
44,0.3523104509999939,,0.003446134655058492,"(11, 19)",schedu,-4.655851189464237,,6.216971277326826,,7.169053625292763,,
45,0.2807783529997323,,0.0009766640620041663,"(11, 32)",schedu,-4.668311142109286,,14.946369253713973,,16.69122075656651,,
46,0.12154594901949167,,0.028668413806912596,"(12, 1)",integr,-4.637907189630724,,6.3800937000839335,,7.311787934100326,,
47,0.3349553040000046,,0.06303480291039311,"(12, 2)",integr,-4.638576884663468,,6.342944782634126,,7.083455832354069,,
48,0.310454239000137,,0.05437566058322915,"(12, 3)",integr,-4.592867622049403,,6.337722017933939,,7.202474775443178,,
49,0.3341847349993259,,0.002826836650255582,"(12, 26)",schedu,-4.655028918601657,,6.226853625205982,,7.27646226997767,,
50,0.5630128980001246,,0.00202791674009436,"(12, 28)",schedu,-4.657976671030369,,6.098840495553546,,7.007722357442461,,
51,0.3241944331675768,,1.0167280592137102,"(13, 1)",integr,-4.637568110066022,,6.342367214212418,,7.251001892852258,,
52,0.18745680479332805,,0.03893007478276162,"(13, 9)",integr,-4.66817146566725,,6.053279840965688,,7.060402887528479,,
53,0.3049388863146305,,0.05712789194108212,"(14, 1)",integr,-4.6828160381623585,,6.181338566168075,,7.054782270293999,,
54,0.12731040899961954,,0.01727214886698483,"(15, 1)",integr,-4.637907189630724,,6.3800937000839335,,7.197822699384697,,
55,,0.9534719099992799,0.006024120970374056,"(15, 7)",schedu,,-4.443551577824507,,-2.550623348156019,,-2.46062719092843,
56,0.127019460999918,,0.1743564806561328,"(17, 1)",schedu,-4.637911528542101,,6.380089361172557,,7.223247689168364,,
57,,1.9719651769992197,0.0020390045678242096,"(17, 17)",schedu,,-4.581045530077963,,6.360396534673367,,7.267138574345205,
58,0.14985232500021084,,1.017151516792325,"(18, 1)",integr,-4.637907189630724,,6.355946493855472,,7.1978226990116205,,
59,,4922.049247463001,0.0030711428405388297,"(18, 21)",schedu,,-3.9678808198698907,,-2.149184714143755,,-1.947899001322724,
60,0.1354616079997868,,1.016859307239866,"(20, 1)",integr,-4.637907189630724,,6.3800937000839335,,7.197822699384697,,
61,0.1496847200000957,,0.17360452819776118,"(21, 1)",schedu,-4.637908729244438,,6.380092160470221,,7.223250488466024,,
62,0.3222637909993864,2.8850610349327326,0.056129206491796375,"(21, 1)",integr,-4.683048519759077,-4.418071212746507,6.0760954688592514,24.434185648399872,7.012816108594664,27.096889080689447,
63,0.19685528199988767,,0.058487706899383624,"(21, 2)",integr,-4.649300651218002,,6.3253087561862005,,7.164494796152577,,
64,,100.87949034600024,0.002516352711693421,"(21, 19)",schedu,,-4.398156893854136,,-2.3224288225044076,,17.32355179410792,
65,0.13709165300042514,,1.0165349969328454,"(22, 1)",integr,-4.637911528542101,,6.380089361172557,,7.1978183604733195,,
66,0.14584101100035696,,0.003079972186219588,"(24, 1)",schedu,-4.685500502801719,,6.176456812737536,,7.108654553712387,,
67,0.5021220389999144,,0.007866208812031221,"(25, 25)",schedu,-4.677022352812099,,6.197909309749674,,7.193733076880388,,
68,0.15680508500008727,,0.17358562440627537,"(27, 1)",schedu,-4.637907189630724,,6.3800937000839335,,7.223252028079741,,
69,0.7525732619997143,,0.143922136994168,"(28, 38)",schedu,-4.700654745783636,,6.073374768623959,,7.053628358209807,,
70,,1.5477028339992103,0.002549969295907008,"(29, 16)",schedu,,-4.6031495129221405,,15.26566169031141,,17.0223746930058,
71,0.6352948639541864,,0.04703525752323729,"(29, 39)",integr,-4.695371115417276,,6.076189825595021,,7.087634389043346,,
72,0.322493864223361,,0.03067712473223742,"(30, 19)",integr,-4.687868887896598,,6.018101745943129,,6.976178196393117,,
73,0.39110608999999386,,0.0021302125038692014,"(31, 17)",schedu,-4.651357284042723,,15.274434234239985,,17.03485408938215,,
74,0.41586200101301074,,0.1793613995122601,"(31, 27)",schedu,-4.660766729942937,,6.284318179993696,,7.091720122534219,,
75,0.18015802698209882,,0.02917509469341303,"(32, 7)",integr,-4.65234308790665,,6.278697567551199,,7.234985134713027,,
76,0.7646945349997623,,0.05896328508242769,"(34, 27)",integr,-4.634425084879914,,6.235203130569974,,7.094311004814794,,
77,0.4126658202148974,,0.08189678312912138,"(35, 19)",integr,-4.648626670905269,,6.308855867914447,,7.167692739517514,,
78,0.16410495699983585,,0.17467463111342563,"(36, 1)",schedu,-4.637907189630724,,6.3800937000839335,,7.223252028079741,,
79,0.3650810122489929,,0.0735737293357089,"(36, 4)",integr,-4.683103162064267,,6.102365935823575,,7.044426998411521,,
80,0.3095944110000346,,0.05770808583786182,"(37, 15)",integr,-4.636063235547398,,6.302543573175,,7.159382434670668,,
81,,7237.33265685197,0.06105172230377493,"(37, 17)",integr,,-4.514180142340556,,24.747097626475018,,46.44815864413783,
82,0.514605231999667,,0.0019795388847608274,"(37, 39)",schedu,-4.666431922567189,,6.173123942947915,,7.039264249536093,,
83,0.49232738800037623,,0.05645383029073449,"(38, 14)",integr,-4.554539532918158,,6.32136727202079,,7.214197503999088,,
84,0.3875629090007351,,0.029886107718564942,"(38, 15)",integr,-4.660130423801799,,6.039649237826905,,6.966761295360126,,
85,0.8043729419996453,,0.057924050000283764,"(38, 16)",integr,-4.632183999032363,,6.217239587037338,,7.074387331013981,,
86,0.4681077909999658,,0.058758238096532384,"(39, 15)",integr,-4.665105019295182,,6.108419725366145,,6.922096715169785,,
87,0.6106614989994341,,0.059621585347188255,"(39, 16)",integr,-4.66133852321821,,6.062975469314754,,6.921509857342929,,
88,0.49818544600020687,,0.04369278243117331,"(39, 17)",integr,-4.672318966998286,,6.19805113869725,,7.072615081897264,,
89,0.5433313309995356,,0.04525606792110318,"(39, 19)",integr,-4.651706076254012,,6.277725722079857,,7.1473561955678235,,
90,0.4110012929995719,,0.051312553821232405,"(39, 20)",integr,-4.672317537045179,,6.139756280985231,,7.082279662207686,,
91,0.8908012289998624,,0.0010587921052443488,"(39, 24)",schedu,-4.655803058895843,,6.240209213108521,,7.263077488670066,,
92,0.5891325009997672,,0.05739385717854868,"(40, 14)",integr,-4.612748052432969,,6.29927736522709,,7.226066328094442,,
93,0.46394073100009336,,0.05978592827204636,"(40, 15)",integr,-4.687117737975015,,6.067620591806945,,7.026084566034808,,
94,0.8546364060002816,,0.059842296315855754,"(40, 16)",integr,-4.637908784555918,,6.040257861587499,,6.984792815854583,,
95,0.4884278899999117,,0.05876814078083303,"(40, 17)",integr,-4.685435395822126,,6.0825323329144325,,7.030514600620173,,
96,0.39582904000008057,,0.05823541829840783,"(40, 18)",integr,-4.650754955807241,,6.225206125182103,,7.049054239603374,,
97,0.48655307500030176,,0.012261026394979021,"(40, 19)",integr,-4.688950542485189,,6.218807137625826,,7.007699905377144,,
98,0.7814288520003174,,0.058160237960623536,"(40, 20)",integr,-4.706741028455953,,6.082675336215487,,6.935400110214075,,
99,0.38712702599968907,,0.05215835985555864,"(40, 21)",integr,-4.644156964586858,,6.252827535957297,,7.194384557427947,,
100,0.6642337949997454,,0.006157498959132568,"(40, 25)",schedu,-4.689298322854332,,6.17410009058713,,7.13547687917964,,
101,1.3405622729997049,,0.004771214339743918,"(40, 27)",schedu,-4.685219371707665,,5.999465360753762,,7.033622380437646,,
102,0.35611878899999283,,0.10497621290063598,"(40, 29)",schedu,-4.650822019735545,,6.313858345706932,,7.227223295701537,,
103,0.5153258430000278,,0.005385712821242146,"(40, 30)",schedu,-4.6493006527547704,,6.325978019955738,,7.242421850535516,,
104,0.1925859390757978,,0.023067663894641446,"(41, 7)",integr,-4.65254246041551,,6.255142108015887,,7.21441284567488,,
105,,271.2020425237715,0.055131663602936004,"(41, 12)",integr,,-4.21082819693648,,116.24018002108788,,37.29693556668687,
106,1.0079434680001214,,0.03744696342438118,"(41, 16)",integr,-4.675974525759519,,6.121162140744749,,7.093177233656474,,
107,0.3150454820001869,,0.05829086149877812,"(41, 17)",integr,-4.662069516501787,,6.240443617031429,,7.0897270049618335,,
108,0.46785863300010533,,0.0376621229958574,"(41, 18)",integr,-4.637288964118051,,6.1441272314983255,,7.03897400656308,,
109,0.9132531489999565,,0.07563079215725746,"(41, 19)",integr,-4.654332686429123,,6.1133836868330125,,6.971736942052588,,
